Model,NaturalQuestions (closed)_F1,TruthfulQA_EM,MMLU_EM,IMDB_EM,RAFT_EM,CivilComments_EM,BoolQ_EM,NarrativeQA_F1,NaturalQuestions (open)_F1,QuAC_F1,CNN/DailyMail_ROUGE-2,XSUM_ROUGE-2
pythia-70m/26000,0.0,0.08,0.225,0.46,0.4227272727272727,0.7142857142857143,0.58,0.07804056327583027,0.031167701863354037,0.12116175629990693,0.013543752309932064,0.01014611368969818
pythia-70m/31000,0.01,0.12,0.19285714285714287,0.36,0.40454545454545454,0.6428571428571429,0.56,0.06332650925411105,0.048914285714285716,0.12141283761801913,0.004607789328115582,0.010995758319478645
pythia-70m/38000,0.02,0.1,0.16428571428571428,0.36,0.4090909090909091,0.5059523809523809,0.52,0.06136402189546313,0.03904761904761904,0.1334286161015908,0.007133611281859404,0.010174664568912343
pythia-70m/46000,0.0,0.16,0.19285714285714284,0.34,0.38181818181818183,0.5059523809523809,0.54,0.07133659771032022,0.028717353568417398,0.11698487285742055,0.0018098201814852265,0.011880536397454981
pythia-70m/55000,0.01,0.06,0.25,0.32,0.36363636363636365,0.6964285714285714,0.58,0.07699929811543689,0.05742190199113221,0.12882289945911174,0.004876917239327742,0.0016722408026755853
pythia-70m/67000,0.01,0.24,0.25,0.36,0.3409090909090909,0.744047619047619,0.56,0.09645026718605312,0.034425243215565796,0.1169933360935203,0.0008166598611678238,0.0
pythia-70m/81000,0.0,0.14,0.13571428571428573,0.36,0.3,0.7261904761904762,0.58,0.07256180807423167,0.06958056870879005,0.12694068065929612,0.0,0.010658926077897809
pythia-70m/98000,0.01,0.24,0.19642857142857145,0.34,0.35000000000000003,0.3392857142857143,0.56,0.06998930626381607,0.05384093855327975,0.1314915463673558,0.00033085194375516956,0.0009861932938856016
pythia-70m/118000,0.026153846153846153,0.1,0.16428571428571428,0.36,0.34545454545454546,0.6428571428571429,0.56,0.06741677126292513,0.0829057919509832,0.11374226150076026,0.004585501914055379,0.015535437789291458
pythia-70m/143000,0.019653846153846154,0.18,0.35357142857142854,0.5,0.38636363636363635,0.6904761904761906,0.6,0.07778457869709755,0.06361370358842552,0.1348000005998072,0.0007086705650001936,0.006650420099518721
pythia-160m/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pythia-160m/16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pythia-160m/32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pythia-160m/64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pythia-160m/128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0
pythia-160m/256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011600000000000001,0.009766089793058597,0.007291549700696291
pythia-160m/512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023835943134188745,0.002857142857142857,0.020858214249518597,0.010814241092767282,0.007909662405943678
pythia-160m/1000,0.01,0.1,0.18571428571428572,0.38,0.2409090909090909,0.619047619047619,0.58,0.05809340232417156,0.01,0.0785679845782013,0.002570696044438784,0.0010834236186348862
pythia-160m/2000,0.0,0.16,0.30357142857142855,0.12,0.3318181818181818,0.5238095238095238,0.54,0.036778591778591774,0.07747520446528174,0.14572659242676908,0.0,0.008797111318175059
pythia-160m/3000,0.0,0.18,0.3,0.04,0.38181818181818183,0.3988095238095238,0.26,0.07058850456286353,0.0418254403242767,0.16189780257813818,0.0018072703540216463,0.009155837226753451
pythia-160m/4000,0.002352941176470588,0.18,0.43928571428571433,0.36,0.44090909090909086,0.6428571428571429,0.44,0.09616924757392985,0.052984126984126995,0.13479448623425952,0.000388651379712398,0.008563039197397704
pythia-160m/5000,0.0018181818181818182,0.14,0.37857142857142856,0.36,0.40454545454545454,0.6428571428571429,0.52,0.12518556412936027,0.038631512868801,0.1408084703549497,0.0,0.008969905289025875
pythia-160m/6000,0.01,0.04,0.22142857142857145,0.42,0.38636363636363635,0.6190476190476192,0.52,0.07538176955101619,0.009333333333333334,0.1316033174186656,0.005319913731128685,0.016171071109922067
pythia-160m/7000,0.01,0.2,0.21785714285714283,0.5,0.38636363636363635,0.35714285714285715,0.44,0.09873803700349704,0.1058119288119288,0.10352437151687371,0.009976642892243117,0.018752033786148477
pythia-160m/8000,0.01,0.08,0.275,0.42,0.390909090909091,0.4761904761904762,0.44,0.06928819744824072,0.0712123043197212,0.11477808862938321,0.006251898630835335,0.012643805054574679
pythia-160m/10000,0.0,0.18,0.19285714285714284,0.48,0.38636363636363635,0.6428571428571429,0.54,0.06197286838312479,0.03800742992232354,0.1383937197370899,0.012761946754884136,0.003442928039702234
pythia-160m/12000,0.025589304812834227,0.18,0.21785714285714283,0.36,0.34545454545454546,0.3392857142857143,0.48,0.05281979448646115,0.04953565770306336,0.1188032939753243,0.0077045190753645,0.03172223403429259
pythia-160m/15000,0.0,0.18,0.25,0.4,0.3409090909090909,0.6428571428571429,0.5,0.044620364205772735,0.03528238607270866,0.13434690573694041,0.006057735783073298,0.006680456435358396
pythia-160m/18000,0.024705882352941178,0.2,0.275,0.36,0.3772727272727273,0.5476190476190476,0.42,0.05350899100899101,0.14143521814914004,0.11280458827517652,0.033246647090637266,0.006682731682731683
pythia-160m/21000,0.032171122994652405,0.16,0.13571428571428573,0.36,0.4,0.6011904761904762,0.46,0.05773662193345451,0.18281276873912178,0.1770518587654879,0.026036741370045174,0.013134829395816549
pythia-160m/26000,0.02317345399698341,0.16,0.275,0.42,0.40454545454545454,0.6428571428571429,0.42,0.06455473467111959,0.17979080713080348,0.13844636380693262,0.019396215017052618,0.01587376183129552
pythia-160m/31000,0.03684885290148448,0.18,0.19285714285714284,0.36,0.41818181818181815,0.6428571428571429,0.6,0.0871980305904791,0.16968872084081885,0.15007857583602835,0.04077413868661913,0.03350149842819257
pythia-160m/38000,0.03470588235294118,0.14,0.18928571428571428,0.3,0.41363636363636364,0.5595238095238095,0.62,0.11520066264389446,0.17346822724530703,0.18760034421092298,0.030579055412264817,0.01925808852827015
pythia-160m/46000,0.04,0.2,0.21428571428571427,0.5,0.41363636363636364,0.5833333333333333,0.6,0.05485487671722489,0.18557326147242112,0.16031560733169128,0.017969243199216823,0.016135738105619263
pythia-160m/55000,0.042444444444444444,0.14,0.26785714285714285,0.56,0.38636363636363635,0.625,0.6,0.1179191334831394,0.2196080919949024,0.13469758555652014,0.02064608806785635,0.031410812373937586
pythia-160m/67000,0.04831746031746032,0.18,0.24285714285714283,0.54,0.45454545454545453,0.38095238095238093,0.6,0.12782899802428263,0.11977971459393212,0.13682565934087573,0.027185341746993014,0.015884866017718803
pythia-160m/81000,0.057999999999999996,0.16,0.225,0.42,0.45454545454545453,0.47619047619047616,0.58,0.06279750470059976,0.1403464052287582,0.12949740732502307,0.035934181233598476,0.030482832056655654
pythia-160m/98000,0.048,0.14,0.19285714285714284,0.58,0.5227272727272727,0.4047619047619047,0.52,0.07160397911922602,0.1602961393596987,0.18082642415609168,0.035873509492618125,0.03515970586104684
pythia-160m/118000,0.04740476190476191,0.18,0.225,0.4,0.41363636363636364,0.6071428571428571,0.56,0.06197966923670249,0.15548312575151413,0.13312742080475914,0.0176091950269879,0.022283719262971236
pythia-160m/143000,0.060644444444444445,0.18,0.22857142857142856,0.54,0.45454545454545453,0.4047619047619047,0.56,0.08886054312147824,0.14927007370917145,0.1393175590339475,0.004803214183560973,0.015984633166768878
pythia-410m/0,0.0029480564155486754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019047619047619048,0.0,0.0
pythia-410m/16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pythia-410m/32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pythia-410m/64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005161290322580645,0.0
pythia-410m/128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pythia-410m/256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010240655401945725,0.002481389578163772
pythia-410m/512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008382642998027613,0.012007469654528478,0.0525573229754718,0.008501379011067053,0.010444984069480663
pythia-410m/1000,0.01,0.1,0.19285714285714284,0.34,0.2863636363636364,0.5892857142857143,0.58,0.04001918905545027,0.0,0.11954864919862555,0.0038779713270568165,0.0033499520312033093
pythia-410m/2000,0.01880200501253133,0.18,0.2178571428571429,0.28,0.5409090909090909,0.5297619047619048,0.58,0.060863581436336855,0.04172655570550307,0.13368601162555474,0.0028747985726699345,0.00918216448833989
pythia-410m/3000,0.02800868481363837,0.12,0.25,0.38,0.4454545454545454,0.35119047619047616,0.58,0.06758229546471052,0.07299053456216123,0.16117954163461679,0.006966115714065413,0.01431741722933855
pythia-410m/4000,0.03293157478915993,0.12,0.19642857142857142,0.36,0.45,0.6428571428571429,0.54,0.09484797453758316,0.09301114030364349,0.17688218274397108,0.014659677936142073,0.006125701808514656
pythia-410m/5000,0.026435447593342327,0.2,0.46428571428571425,0.4,0.4636363636363636,0.6428571428571429,0.58,0.06448046723329659,0.07737451283532092,0.15201363809580734,0.016096716576144397,0.01729533188605078
pythia-410m/6000,0.02761456316376225,0.18,0.30357142857142855,0.38,0.36363636363636365,0.6547619047619048,0.4,0.053664165454833816,0.054618804043356485,0.15368293823051357,0.0213703403166686,0.025430451532542014
pythia-410m/7000,0.01625910931174089,0.12,0.18928571428571428,0.38,0.38636363636363635,0.6428571428571429,0.48,0.09108451003509166,0.10169279123233796,0.17790686231311806,0.01956818454202975,0.018747856851862494
pythia-410m/8000,0.03875990675990676,0.18,0.07857142857142857,0.4,0.44999999999999996,0.6428571428571429,0.48,0.09431882627881674,0.0941668878077547,0.19602141748562846,0.034182515960796515,0.01823927881399146
pythia-410m/10000,0.009722222222222222,0.18,0.19642857142857142,0.46,0.47272727272727266,0.6428571428571429,0.5,0.05661409637896444,0.10193836882072177,0.16661817302897203,0.029661784220039202,0.025166944710807868
pythia-410m/12000,0.034722222222222224,0.18,0.3571428571428571,0.42,0.45909090909090905,0.39285714285714285,0.5,0.1392792392792393,0.14135374460957487,0.19258414755106362,0.04067022411420135,0.03442907910037797
pythia-410m/15000,0.03432748538011696,0.18,0.25,0.62,0.5454545454545454,0.5535714285714286,0.58,0.07842252675165663,0.24153406094756064,0.18083810818099522,0.09466118148244795,0.031339180162843414
pythia-410m/18000,0.04466666666666667,0.18,0.27142857142857146,0.44,0.5454545454545454,0.6309523809523808,0.56,0.15614220046993155,0.18554285518997354,0.11197800731760374,0.07410650027992748,0.045711314007277674
pythia-410m/21000,0.018000000000000002,0.18,0.25,0.52,0.5,0.5059523809523809,0.42,0.14977100051101674,0.1804339835094984,0.14454268605436243,0.05729318679377295,0.031729478161237494
pythia-410m/26000,0.06332683982683983,0.24,0.22142857142857145,0.64,0.49545454545454537,0.5,0.54,0.19422434743517336,0.19507073591150875,0.1426389330254608,0.046922020530269525,0.029923617901977076
pythia-410m/31000,0.07893406593406593,0.18,0.24642857142857144,0.66,0.5636363636363636,0.39285714285714285,0.68,0.18842856489915313,0.25890303030303025,0.1448198611087872,0.0658379680985262,0.024487740983625602
pythia-410m/38000,0.03824888074888075,0.18,0.19285714285714284,0.54,0.5409090909090909,0.47619047619047616,0.62,0.1353356045663738,0.2606591907609845,0.13185778792047034,0.04833526343566335,0.028246522328062774
pythia-410m/46000,0.04214285714285714,0.3,0.225,0.6,0.45909090909090905,0.47619047619047616,0.56,0.18246330857686097,0.23589963328326502,0.13937059817453307,0.04990116301467277,0.032662461260560154
pythia-410m/55000,0.047167959491488894,0.2,0.19642857142857145,0.7,0.5636363636363636,0.369047619047619,0.64,0.2052706552706553,0.31237905174614033,0.13191302885225786,0.06377504262165715,0.02074916455929145
pythia-410m/67000,0.03836263736263736,0.22,0.19642857142857142,0.62,0.5181818181818181,0.5178571428571429,0.66,0.271621624562801,0.2613741334065073,0.14349249749209816,0.026000368434936777,0.008818213335422348
pythia-410m/81000,0.044047619047619044,0.26,0.16428571428571428,0.6,0.4272727272727273,0.41666666666666663,0.6,0.254706041362713,0.3219374532970943,0.09978964426476074,0.0405361614981591,0.02151971278420172
pythia-410m/98000,0.051291208791208784,0.2,0.1714285714285714,0.64,0.49545454545454537,0.6309523809523808,0.66,0.26578434972100123,0.3494027215819673,0.16125006316000656,0.07592527141993341,0.02609249081384418
pythia-410m/118000,0.059513431013431005,0.18,0.1714285714285714,0.62,0.3409090909090909,0.38095238095238093,0.5,0.29481835827989666,0.3657638474780361,0.13590315420393353,0.03237331724001106,0.036970514861259955
pythia-410m/143000,0.0533998778998779,0.16,0.35714285714285715,0.6,0.3909090909090909,0.34523809523809523,0.64,0.2769436321784582,0.3837610200357032,0.11597597789404729,0.022936861303692865,0.031298897699061266
pythia-1.4b/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pythia-1.4b/16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pythia-1.4b/32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pythia-1.4b/64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pythia-1.4b/128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007415079214539963,0.004119911096655283
pythia-1.4b/256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010423193172391975,0.008385095060286877
pythia-1.4b/1000,0.0,0.18,0.225,0.3,0.48636363636363633,0.625,0.58,0.06134395161248131,0.01,0.11678010415883304,0.002052012673570502,0.0027472527472527475
pythia-1.4b/2000,0.03440476190476191,0.14,0.3071428571428571,0.18,0.45,0.6428571428571429,0.58,0.07343420679213192,0.07060839526312232,0.17410277357113638,0.002500962035157474,0.020709123825319507
pythia-1.4b/3000,0.022368070974209085,0.12,0.3821428571428572,0.36,0.38181818181818183,0.5654761904761905,0.56,0.066044759805371,0.08107942273080546,0.14155008301225594,0.012102636211625703,0.005630216849466909
pythia-1.4b/4000,0.03306666666666667,0.18,0.22857142857142856,0.4,0.4681818181818182,0.6428571428571429,0.52,0.0906076364156661,0.17345344244377048,0.15207892009950832,0.024042523928982054,0.009966169634859154
pythia-1.4b/5000,0.027999999999999997,0.12,0.2571428571428571,0.42,0.41363636363636364,0.6428571428571429,0.58,0.0674952088204726,0.1463364715518574,0.16970872278499052,0.03656262387693551,0.03214373542277725
pythia-1.4b/6000,0.06010526315789473,0.28,0.28214285714285714,0.36,0.40454545454545454,0.42857142857142855,0.54,0.13002242018079121,0.1515871752088593,0.1604445016782847,0.05744461178598796,0.012855510390721657
pythia-1.4b/7000,0.07176623376623376,0.16,0.16785714285714284,0.46,0.45454545454545453,0.5059523809523809,0.58,0.13099648411319498,0.1714853663824331,0.2012534639192914,0.034397303652649466,0.0281818427914674
pythia-1.4b/8000,0.057438095238095226,0.12,0.13571428571428573,0.7,0.4818181818181818,0.5476190476190477,0.5,0.11326451326451324,0.2119272008487089,0.18783537753471743,0.04660317450019576,0.031061681186983256
pythia-1.4b/10000,0.034904761904761904,0.18,0.25357142857142856,0.5,0.5454545454545454,0.23214285714285715,0.54,0.1991677126292511,0.22429346054978963,0.1372325475202068,0.02274507609973583,0.023067666662292156
pythia-1.4b/12000,0.021571428571428575,0.2,0.08214285714285714,0.62,0.5454545454545454,0.29166666666666663,0.52,0.20598075829480136,0.2539577864703859,0.17261787705440956,0.03839012887784662,0.0364545466027299
pythia-1.4b/15000,0.04496031746031746,0.22,0.3071428571428571,0.6,0.5363636363636364,0.6011904761904762,0.54,0.24036132410569655,0.21825098914002894,0.24602488042046616,0.06205244715514006,0.03087880586310015
pythia-1.4b/18000,0.04442857142857143,0.16,0.25,0.6,0.45,0.42857142857142855,0.56,0.24893352834529298,0.2604332804229901,0.13835609180387004,0.06811692989022733,0.029700887624001412
pythia-1.4b/21000,0.05671428571428571,0.24,0.26785714285714285,0.6,0.45454545454545453,0.5059523809523809,0.52,0.2295905711997666,0.37554833779662156,0.20357293256172945,0.0512510880318473,0.04668192725939395
pythia-1.4b/26000,0.042523809523809526,0.14,0.21071428571428572,0.82,0.4727272727272727,0.6428571428571429,0.62,0.27919802946096517,0.3989199133738457,0.17368499128417458,0.054723550375994405,0.038245839561443076
pythia-1.4b/31000,0.03519047619047619,0.16,0.18571428571428572,0.74,0.5454545454545454,0.619047619047619,0.62,0.24697784816860782,0.33130885243262936,0.23069186994283405,0.08781003098777315,0.050531573283312856
pythia-1.4b/38000,0.050238095238095234,0.2,0.08571428571428572,0.74,0.45454545454545453,0.5773809523809523,0.66,0.3032293602146544,0.4160534861156681,0.20494849017145927,0.06799369725609371,0.030822051241987166
pythia-1.4b/46000,0.05573732718894009,0.18,0.26785714285714285,0.58,0.5863636363636363,0.6428571428571429,0.7,0.31985379333576675,0.431944382572306,0.2273495950539623,0.08501705999746918,0.03508474086318271
pythia-1.4b/55000,0.06607692307692309,0.16,0.24285714285714283,0.6,0.45454545454545453,0.5178571428571429,0.6,0.36836756384267694,0.4750079550079551,0.2733377874649243,0.057635655513567974,0.03532974652691397
pythia-1.4b/67000,0.041372549019607845,0.22,0.24642857142857144,0.52,0.4090909090909091,0.5,0.66,0.40560820108331413,0.43065445665445673,0.22707456460845207,0.07764175408683491,0.039573936417564584
pythia-1.4b/81000,0.07257692307692308,0.3,0.225,0.44,0.45,0.6428571428571429,0.62,0.37914188208305855,0.4468162762836048,0.23026075884899413,0.08204102691627241,0.05057977991059619
pythia-1.4b/98000,0.0621007326007326,0.16,0.1392857142857143,0.84,0.5636363636363636,0.5,0.6,0.451869729641613,0.4616511765431627,0.24495525319114286,0.07296270755957032,0.05451228595510019
pythia-1.4b/118000,0.07280241327300152,0.3,0.19285714285714284,0.82,0.5,0.5535714285714286,0.56,0.4778837640633553,0.45158184904526366,0.2391106104409265,0.0827044888922891,0.05364737372058009
pythia-1.4b/143000,0.08052380952380953,0.28,0.19285714285714287,0.84,0.4772727272727273,0.6011904761904762,0.6,0.46548341887708405,0.5291112165234803,0.2523010565880004,0.07237726238083517,0.046108435950764755
pythia-2.8b/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pythia-2.8b/16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005714285714285714,0.0,0.0,0.0
pythia-2.8b/32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pythia-2.8b/64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pythia-2.8b/128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0
pythia-2.8b/256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044444444444444444,0.0,0.0041487250817809265,0.0
pythia-2.8b/512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004467754467754468,0.022337662337662337,0.0016,0.010541288339944372,0.007102248587592951
pythia-2.8b/1000,0.0,0.06,0.3,0.36,0.3772727272727273,0.5892857142857143,0.66,0.058239324028797716,0.01,0.059307930745312154,0.0,0.000999000999000999
pythia-2.8b/2000,0.0,0.08,0.37857142857142856,0.32,0.40454545454545454,0.6428571428571429,0.58,0.05654438154438155,0.02071264367816092,0.1930520370677516,0.0004962779156327543,0.00812902885201981
pythia-2.8b/3000,0.02616666666666666,0.18,0.3607142857142857,0.4,0.5181818181818182,0.6071428571428571,0.6,0.10059982752290443,0.08215522214283824,0.17205310481230754,0.0,0.01782731979470152
pythia-2.8b/4000,0.05568627450980392,0.24,0.24642857142857144,0.38,0.4318181818181818,0.5833333333333333,0.54,0.12336443208912846,0.11824719952450487,0.11015910170661161,0.017609827174504065,0.021878897635316065
pythia-2.8b/5000,0.08707107512370671,0.18,0.13214285714285712,0.7,0.40454545454545454,0.6428571428571429,0.54,0.11272694777834044,0.08457076263788522,0.19531423264282452,0.03848849873446628,0.016784899949827275
pythia-2.8b/6000,0.01619047619047619,0.18,0.26785714285714285,0.58,0.45454545454545453,0.6369047619047619,0.58,0.233128095170709,0.16336107683166506,0.1753165284925697,0.027827427777812143,0.022474022318578056
pythia-2.8b/7000,0.04585714285714285,0.16,0.10714285714285714,0.58,0.4772727272727273,0.6428571428571429,0.56,0.23248468056160362,0.12320327814505629,0.15673546914042272,0.0577329246984408,0.033739349203722874
pythia-2.8b/8000,0.035666666666666666,0.18,0.2678571428571429,0.62,0.3909090909090909,0.5297619047619048,0.64,0.2285103785103785,0.16344430783771774,0.17091591666528858,0.0756080062084658,0.0312262883373675
pythia-2.8b/10000,0.036076923076923076,0.2,0.21071428571428572,0.68,0.3727272727272727,0.5,0.62,0.26855259437078655,0.253658267780385,0.1870877935784158,0.07523862671536864,0.03207558948923918
pythia-2.8b/12000,0.018666666666666668,0.14,0.325,0.72,0.45454545454545453,0.6428571428571429,0.66,0.25815776732066326,0.21825797731680086,0.22599213325176812,0.06634512546934775,0.04477728615328085
pythia-2.8b/15000,0.03038095238095238,0.14,0.1392857142857143,0.82,0.36818181818181817,0.6428571428571429,0.56,0.28260662499398076,0.29168440349564423,0.24666304018874757,0.07315885536772268,0.042994382251029355
pythia-2.8b/18000,0.01933333333333333,0.16,0.13571428571428573,0.52,0.43636363636363634,0.6428571428571429,0.58,0.3686095961935448,0.34995783629694865,0.2308882860395893,0.08927483041624086,0.03452086350175371
pythia-2.8b/21000,0.04206457739791073,0.28,0.2678571428571429,0.7,0.41363636363636364,0.39285714285714285,0.6,0.34807905769444225,0.38860965609266734,0.25691284490452737,0.05826859026280516,0.04504209032521625
pythia-2.8b/26000,0.06800549450549451,0.22,0.1857142857142857,0.88,0.4090909090909091,0.6071428571428571,0.7,0.3861419504889625,0.43613865546218483,0.2819669806426515,0.0764838272265442,0.05373159835825162
pythia-2.8b/31000,0.08256431803490628,0.2,0.13214285714285712,0.8,0.41818181818181815,0.4702380952380953,0.54,0.4713179982410752,0.47221240011155985,0.3074903591911767,0.0829321729228352,0.053330127243559004
pythia-2.8b/38000,0.06933333333333333,0.22,0.19285714285714284,0.92,0.34545454545454546,0.4404761904761904,0.64,0.3690533825149209,0.4471998048871001,0.2678527645728908,0.07821901583789048,0.06480313138398949
pythia-2.8b/46000,0.0766711229946524,0.26,0.3892857142857143,0.88,0.2818181818181818,0.6428571428571429,0.64,0.40045712555746,0.5574205128205129,0.2988485307683033,0.08432326828702447,0.041880973146957795
pythia-2.8b/55000,0.07850353155616313,0.26,0.16428571428571428,0.8,0.45454545454545453,0.6428571428571429,0.68,0.44946259305233666,0.47246216958860643,0.3002273387513341,0.1061733104609532,0.0441429745385375
pythia-2.8b/67000,0.07124856407209348,0.22,0.07857142857142857,0.96,0.3181818181818182,0.6309523809523808,0.62,0.4330415436750278,0.5167214976610522,0.31054757189741716,0.08193318352054978,0.05410420554154693
pythia-2.8b/81000,0.08682451921048412,0.26,0.1857142857142857,0.88,0.38636363636363635,0.6428571428571429,0.7,0.46292748799491706,0.5707862002496148,0.28495382160152527,0.12716315052303476,0.05250733479801901
pythia-2.8b/98000,0.09736988936988934,0.18,0.2214285714285714,0.96,0.30000000000000004,0.5535714285714286,0.66,0.47307251153404994,0.5617095793095794,0.271120292688588,0.10637818206298094,0.060895693937936604
pythia-2.8b/118000,0.08883065083065082,0.28,0.2214285714285714,0.96,0.3590909090909091,0.619047619047619,0.72,0.4896396045717313,0.5958187771498388,0.28304684990943907,0.09477991975179954,0.06906021054727374
pythia-2.8b/143000,0.08324736947073275,0.28,0.11071428571428572,0.98,0.33636363636363636,0.619047619047619,0.78,0.48692219461450226,0.5483081363081364,0.27767919208511677,0.1293172064470482,0.0635166242227097
pythia-6.9b/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
